iter	Passed	Remaining
611	3797	8611
612	3803	8606
613	3810	8600
614	3816	8595
615	3823	8590
616	3831	8587
617	3837	8581
618	3843	8575
619	3850	8570
620	3852	8555
621	3861	8554
622	3867	8547
623	3874	8543
624	3879	8534
625	3885	8528
626	3892	8522
627	3897	8515
628	3904	8509
629	3910	8503
630	3917	8500
631	3924	8494
632	3931	8489
633	3934	8477
634	3942	8474
635	3949	8470
636	3955	8464
637	3960	8455
638	3965	8446
639	3972	8441
640	3978	8435
641	3985	8430
642	3990	8421
643	3998	8418
644	4006	8416
645	4013	8412
646	4020	8408
647	4026	8400
648	4031	8391
649	4036	8384
650	4043	8378
651	4050	8374
652	4057	8369
653	4063	8363
654	4069	8356
655	4075	8349
656	4082	8344
657	4089	8341
658	4097	8338
659	4104	8334
660	4111	8329
661	4118	8323
662	4124	8316
663	4132	8313
664	4139	8309
665	4146	8304
666	4155	8304
667	4162	8299
668	4169	8294
669	4175	8288
670	4181	8281
671	4187	8276
672	4193	8269
673	4201	8265
674	4205	8255
675	4212	8250
676	4218	8244
677	4225	8239
678	4231	8232
679	4238	8227
680	4242	8216
681	4248	8211
682	4256	8207
683	4263	8202
684	4268	8194
685	4276	8191
686	4282	8185
687	4288	8177
688	4295	8173
689	4301	8165
690	4307	8160
691	4315	8156
692	4320	8148
693	4329	8147
694	4335	8141
695	4341	8133
696	4347	8127
697	4351	8117
698	4358	8111
699	4365	8107
700	4373	8104
701	4379	8098
702	4385	8091
703	4391	8085
704	4399	8080
705	4406	8075
706	4409	8064
707	4415	8057
708	4422	8052
709	4429	8048
710	4435	8040
711	4443	8037
712	4449	8032
713	4456	8026
714	4459	8014
715	4466	8009
716	4469	7997
717	4475	7990
718	4482	7985
719	4489	7981
720	4496	7976
721	4502	7970
722	4509	7964
723	4515	7958
724	4522	7953
725	4530	7949
726	4536	7943
727	4542	7937
728	4551	7935
729	4559	7932
730	4567	7928
731	4575	7925
732	4583	7922
733	4589	7916
734	4597	7912
735	4603	7906
736	4610	7901
737	4617	7896
738	4625	7893
739	4631	7886
740	4634	7874
741	4640	7868
742	4648	7863
743	4652	7853
744	4658	7846
745	4660	7834
746	4668	7830
747	4675	7825
748	4680	7818
749	4687	7811
750	4692	7804
751	4699	7799
752	4706	7794
753	4714	7790
754	4720	7784
755	4727	7779
756	4735	7775
757	4741	7769
758	4747	7762
759	4753	7755
760	4756	7744
761	4762	7737
762	4769	7731
763	4775	7726
764	4783	7722
765	4789	7715
766	4795	7709
767	4803	7704
768	4809	7699
769	4816	7693
770	4823	7688
771	4830	7683
772	4837	7678
773	4842	7670
774	4848	7663
775	4855	7659
776	4862	7653
777	4869	7647
778	4877	7644
779	4883	7638
780	4889	7632
781	4896	7627
782	4902	7619
783	4908	7613
784	4916	7609
785	4923	7603
786	4929	7598
787	4937	7593
788	4943	7587
789	4950	7582
790	4957	7576
791	4965	7573
792	4971	7567
793	4978	7561
794	4985	7556
795	4991	7550
796	4999	7546
797	5007	7543
798	5015	7538
799	5021	7532
800	5027	7525
801	5033	7518
802	5041	7514
803	5048	7509
804	5055	7505
805	5061	7498
806	5068	7493
807	5074	7486
808	5081	7480
809	5087	7474
810	5094	7469
811	5102	7465
812	5109	7460
813	5116	7455
814	5124	7450
815	5132	7447
816	5140	7443
817	5148	7439
818	5154	7432
819	5160	7426
820	5165	7417
821	5172	7412
822	5178	7406
823	5184	7398
824	5191	7393
825	5195	7384
826	5203	7380
827	5210	7374
828	5217	7370
829	5224	7364
830	5231	7359
831	5236	7350
832	5242	7343
833	5249	7338
834	5256	7333
835	5262	7327
836	5269	7322
837	5276	7315
838	5283	7310
839	5288	7303
840	5295	7297
841	5302	7291
842	5308	7285
843	5315	7280
844	5323	7275
845	5329	7270
846	5338	7266
847	5344	7260
848	5351	7254
849	5358	7249
850	5365	7244
851	5372	7238
852	5378	7232
853	5386	7227
854	5393	7222
855	5400	7217
856	5407	7211
857	5414	7206
858	5420	7200
859	5427	7195
860	5434	7189
861	5441	7184
862	5449	7179
863	5456	7173
864	5463	7169
865	5469	7162
866	5475	7155
867	5482	7149
868	5487	7142
869	5494	7136
870	5501	7131
871	5507	7124
872	5514	7118
873	5520	7112
874	5529	7108
875	5536	7104
876	5547	7103
877	5554	7097
878	5561	7092
879	5567	7085
880	5575	7081
881	5580	7074
882	5587	7068
883	5593	7060
884	5599	7055
885	5605	7048
886	5612	7042
887	5618	7035
888	5624	7029
889	5631	7023
890	5638	7017
891	5644	7011
892	5651	7005
893	5659	7000
894	5665	6995
895	5672	6988
896	5678	6983
897	5686	6978
898	5693	6972
899	5699	6965
900	5706	6960
901	5714	6955
902	5721	6950
903	5727	6943
904	5733	6937
905	5740	6932
906	5747	6926
907	5751	6916
908	5757	6910
909	5764	6904
910	5772	6899
911	5778	6893
912	5784	6887
913	5792	6882
914	5797	6875
915	5804	6869
916	5810	6862
917	5818	6857
918	5823	6850
919	5828	6841
920	5834	6835
921	5841	6830
922	5849	6825
923	5856	6819
924	5862	6813
925	5869	6807
926	5876	6802
927	5881	6794
928	5888	6788
929	5893	6781
930	5901	6775
931	5907	6769
932	5914	6763
933	5921	6758
934	5927	6751
935	5935	6747
936	5942	6741
937	5949	6735
938	5955	6729
939	5962	6723
940	5969	6718
941	5976	6712
942	5983	6706
943	5990	6700
944	5996	6694
945	6001	6686
946	6010	6683
947	6015	6675
948	6022	6670
949	6029	6664
950	6036	6658
951	6042	6652
952	6049	6645
953	6056	6640
954	6062	6633
955	6069	6628
956	6076	6622
957	6083	6617
958	6090	6611
959	6097	6605
960	6104	6599
961	6110	6593
962	6118	6588
963	6126	6583
964	6133	6577
965	6140	6572
966	6147	6566
967	6154	6561
968	6161	6555
969	6167	6549
970	6174	6543
971	6181	6537
972	6188	6531
973	6195	6525
974	6202	6520
975	6209	6515
976	6215	6508
977	6221	6501
978	6227	6494
979	6233	6487
980	6240	6482
981	6248	6477
982	6257	6473
983	6262	6466
984	6270	6461
985	6276	6454
986	6283	6449
987	6291	6443
988	6296	6436
989	6303	6430
990	6308	6423
991	6315	6417
992	6323	6412
993	6330	6406
994	6338	6402
995	6345	6396
996	6353	6391
997	6360	6385
998	6367	6380
999	6375	6375
1000	6382	6369
1001	6388	6363
1002	6395	6357
1003	6401	6350
1004	6407	6344
1005	6414	6337
1006	6421	6332
1007	6428	6326
1008	6434	6320
1009	6440	6313
1010	6448	6308
1011	6455	6302
1012	6460	6294
1013	6467	6288
1014	6474	6282
1015	6481	6277
1016	6489	6272
1017	6496	6267
1018	6504	6261
1019	6511	6255
1020	6517	6249
1021	6525	6244
1022	6533	6239
1023	6540	6233
1024	6548	6228
1025	6554	6222
1026	6561	6216
1027	6569	6211
1028	6576	6205
1029	6583	6199
1030	6588	6192
1031	6595	6186
1032	6603	6182
1033	6611	6176
1034	6618	6171
1035	6627	6166
1036	6636	6162
1037	6643	6156
1038	6651	6152
1039	6659	6147
1040	6667	6142
1041	6676	6138
1042	6683	6131
1043	6691	6127
1044	6699	6122
1045	6710	6120
1046	6718	6115
1047	6725	6109
1048	6731	6102
1049	6738	6096
1050	6745	6090
1051	6751	6084
1052	6758	6077
1053	6763	6070
1054	6770	6064
1055	6778	6059
1056	6784	6053
1057	6791	6047
1058	6799	6041
1059	6806	6035
1060	6813	6029
1061	6819	6023
1062	6825	6016
1063	6832	6010
1064	6839	6004
1065	6845	5998
1066	6852	5992
1067	6860	5987
1068	6868	5982
1069	6875	5976
1070	6882	5970
1071	6890	5964
1072	6897	5958
1073	6904	5952
1074	6912	5947
1075	6919	5941
1076	6926	5935
1077	6932	5929
1078	6939	5922
1079	6946	5917
1080	6953	5911
1081	6961	5906
1082	6968	5900
1083	6975	5894
1084	6982	5888
1085	6987	5880
1086	6993	5874
1087	6999	5867
1088	7007	5861
1089	7014	5856
1090	7020	5849
1091	7026	5842
1092	7034	5837
1093	7040	5830
1094	7047	5824
1095	7054	5818
1096	7061	5812
1097	7068	5807
1098	7074	5800
1099	7082	5794
1100	7088	5788
1101	7096	5782
1102	7102	5776
1103	7110	5770
1104	7117	5764
1105	7123	5758
1106	7131	5753
1107	7140	5748
1108	7146	5741
1109	7153	5735
1110	7161	5730
1111	7168	5724
1112	7175	5718
1113	7183	5713
1114	7191	5707
1115	7199	5702
1116	7206	5696
1117	7211	5689
1118	7218	5683
1119	7224	5676
1120	7231	5669
1121	7237	5663
1122	7243	5657
1123	7251	5651
1124	7258	5645
1125	7264	5638
1126	7272	5633
1127	7280	5627
1128	7286	5621
1129	7294	5616
1130	7300	5609
1131	7306	5602
1132	7313	5596
1133	7319	5589
1134	7327	5584
1135	7334	5578
1136	7342	5573
1137	7350	5568
1138	7357	5561
1139	7363	5555
1140	7371	5549
1141	7377	5542
1142	7384	5537
1143	7393	5531
1144	7399	5525
1145	7407	5519
1146	7413	5513
1147	7420	5507
1148	7427	5501
1149	7435	5495
1150	7442	5489
1151	7448	5482
1152	7455	5477
1153	7462	5470
1154	7470	5465
1155	7477	5459
1156	7484	5452
1157	7492	5447
1158	7499	5441
1159	7507	5436
1160	7514	5430
1161	7523	5425
1162	7530	5419
1163	7538	5413
1164	7545	5408
1165	7553	5402
1166	7561	5397
1167	7568	5391
1168	7574	5384
1169	7582	5378
1170	7589	5372
1171	7596	5366
1172	7603	5360
1173	7609	5354
1174	7617	5348
1175	7623	5341
1176	7630	5335
1177	7637	5329
1178	7644	5323
1179	7651	5317
1180	7658	5310
1181	7665	5304
1182	7671	5297
1183	7678	5291
1184	7685	5285
1185	7690	5278
1186	7698	5272
1187	7705	5266
1188	7712	5260
1189	7719	5254
1190	7726	5248
1191	7733	5241
1192	7740	5235
1193	7748	5230
1194	7755	5224
1195	7761	5217
1196	7768	5211
1197	7775	5205
1198	7782	5199
1199	7790	5193
1200	7797	5187
1201	7803	5180
1202	7811	5175
1203	7818	5169
1204	7826	5163
1205	7832	5157
1206	7839	5150
1207	7846	5144
1208	7853	5137
1209	7860	5131
1210	7867	5125
1211	7874	5119
1212	7879	5112
1213	7885	5105
1214	7891	5098
1215	7898	5092
1216	7904	5085
1217	7912	5080
1218	7919	5074
1219	7927	5068
1220	7933	5061
1221	7939	5055
1222	7945	5047
1223	7951	5040
1224	7957	5034
1225	7963	5027
1226	7971	5021
1227	7977	5015
1228	7982	5008
1229	7989	5001
1230	7995	4994
1231	8002	4988
1232	8010	4983
1233	8017	4976
1234	8022	4969
1235	8029	4963
1236	8037	4957
1237	8043	4950
1238	8050	4944
1239	8055	4937
1240	8062	4931
1241	8068	4924
1242	8075	4917
1243	8083	4912
1244	8089	4905
1245	8096	4899
1246	8103	4893
1247	8112	4888
1248	8119	4882
1249	8126	4876
1250	8134	4870
1251	8141	4864
1252	8148	4857
1253	8154	4851
1254	8162	4845
1255	8170	4839
1256	8176	4833
1257	8183	4826
1258	8188	4819
1259	8195	4813
1260	8201	4806
1261	8208	4800
1262	8215	4793
1263	8222	4787
1264	8229	4781
1265	8235	4775
1266	8242	4768
1267	8248	4761
1268	8255	4755
1269	8262	4749
1270	8270	4743
1271	8278	4738
1272	8284	4731
1273	8291	4724
1274	8298	4718
1275	8305	4712
1276	8311	4705
1277	8318	4699
1278	8325	4693
1279	8332	4687
1280	8339	4680
1281	8345	4674
1282	8354	4669
1283	8362	4663
1284	8369	4657
1285	8376	4650
1286	8383	4644
1287	8390	4638
1288	8395	4630
1289	8402	4624
1290	8410	4618
1291	8415	4611
1292	8422	4605
1293	8428	4598
1294	8434	4591
1295	8441	4585
1296	8449	4579
1297	8456	4573
1298	8464	4567
1299	8471	4561
1300	8479	4555
1301	8487	4550
1302	8495	4544
1303	8503	4538
1304	8511	4533
1305	8520	4527
1306	8528	4522
1307	8534	4515
1308	8542	4509
1309	8549	4503
1310	8556	4496
1311	8564	4490
1312	8571	4484
1313	8577	4478
1314	8585	4472
1315	8594	4467
1316	8601	4460
1317	8608	4454
1318	8617	4449
1319	8624	4443
1320	8630	4436
1321	8638	4430
1322	8646	4424
1323	8654	4418
1324	8662	4413
1325	8675	4409
1326	8685	4404
1327	8691	4398
1328	8701	4393
1329	8710	4387
1330	8719	4382
1331	8728	4377
1332	8737	4372
1333	8748	4367
1334	8758	4362
1335	8768	4357
1336	8777	4352
1337	8786	4347
1338	8794	4341
1339	8802	4335
1340	8810	4329
1341	8818	4323
1342	8826	4317
1343	8834	4312
1344	8843	4306
1345	8850	4300
1346	8859	4294
1347	8868	4289
1348	8880	4285
1349	8889	4280
1350	8901	4275
1351	8909	4270
1352	8917	4264
1353	8926	4258
1354	8934	4252
1355	8944	4247
1356	8952	4241
1357	8961	4236
1358	8969	4230
1359	8978	4224
1360	8985	4218
1361	8993	4212
1362	9000	4206
1363	9007	4199
1364	9015	4194
1365	9023	4187
1366	9031	4182
1367	9039	4176
1368	9045	4169
1369	9053	4163
1370	9059	4156
1371	9068	4150
1372	9075	4144
1373	9082	4138
1374	9089	4131
1375	9097	4125
1376	9103	4118
1377	9111	4112
1378	9118	4106
1379	9125	4099
1380	9131	4092
1381	9138	4086
1382	9145	4079
1383	9153	4073
1384	9159	4067
1385	9166	4060
1386	9173	4054
1387	9180	4048
1388	9188	4041
1389	9195	4035
1390	9203	4029
1391	9210	4023
1392	9217	4016
1393	9224	4010
1394	9231	4003
1395	9237	3996
1396	9244	3990
1397	9251	3984
1398	9259	3977
1399	9266	3971
1400	9274	3965
1401	9280	3958
1402	9287	3951
1403	9295	3945
1404	9301	3939
1405	9307	3932
1406	9315	3926
1407	9321	3919
1408	9327	3912
1409	9334	3905
1410	9341	3899
1411	9348	3893
1412	9355	3886
1413	9362	3880
1414	9369	3873
1415	9377	3867
1416	9385	3861
1417	9392	3854
1418	9400	3848
1419	9406	3842
1420	9413	3835
1421	9420	3829
1422	9426	3822
1423	9434	3816
1424	9441	3809
1425	9449	3803
1426	9456	3797
1427	9464	3790
1428	9470	3784
1429	9477	3777
1430	9484	3771
1431	9492	3765
1432	9500	3758
1433	9507	3752
1434	9514	3746
1435	9520	3739
1436	9527	3732
1437	9533	3725
1438	9541	3719
1439	9548	3713
1440	9555	3706
1441	9562	3700
1442	9569	3693
1443	9585	3690
1444	9609	3690
1445	9618	3685
1446	9632	3681
1447	9639	3674
1448	9647	3668
1449	9654	3662
1450	9661	3655
1451	9669	3649
1452	9676	3642
1453	9684	3636
1454	9692	3630
1455	9698	3623
1456	9705	3617
1457	9712	3610
1458	9719	3604
1459	9726	3597
1460	9733	3590
1461	9741	3584
1462	9748	3578
1463	9756	3572
1464	9764	3565
1465	9772	3559
1466	9778	3552
1467	9785	3546
1468	9792	3539
1469	9799	3533
1470	9806	3526
1471	9815	3520
1472	9822	3514
1473	9828	3507
1474	9835	3500
1475	9841	3493
1476	9849	3487
1477	9855	3480
1478	9862	3474
1479	9869	3467
1480	9876	3461
1481	9884	3454
1482	9891	3448
1483	9898	3441
1484	9905	3435
1485	9913	3428
1486	9921	3422
1487	9929	3416
1488	9934	3409
1489	9941	3402
1490	9947	3395
1491	9954	3389
1492	9964	3383
1493	9972	3377
1494	9979	3370
1495	9987	3364
1496	9994	3358
1497	10001	3351
1498	10009	3345
1499	10017	3339
1500	10025	3332
1501	10034	3326
1502	10042	3320
1503	10049	3314
1504	10058	3308
1505	10065	3301
1506	10072	3294
1507	10079	3288
1508	10087	3282
1509	10095	3276
1510	10103	3269
1511	10110	3263
1512	10117	3256
1513	10125	3250
1514	10133	3244
1515	10139	3237
1516	10146	3230
1517	10154	3224
1518	10162	3217
1519	10170	3211
1520	10177	3205
1521	10184	3198
1522	10192	3192
1523	10199	3185
1524	10205	3178
1525	10211	3172
1526	10219	3165
1527	10225	3158
1528	10232	3152
1529	10240	3145
1530	10247	3139
1531	10254	3132
1532	10261	3126
1533	10269	3119
1534	10275	3112
1535	10282	3106
1536	10290	3099
1537	10296	3093
1538	10304	3086
1539	10310	3079
1540	10317	3073
1541	10324	3066
1542	10331	3059
1543	10338	3053
1544	10346	3046
1545	10353	3040
1546	10360	3033
1547	10367	3027
1548	10376	3021
1549	10383	3014
1550	10390	3007
1551	10397	3001
1552	10405	2994
1553	10410	2987
1554	10418	2981
1555	10424	2974
1556	10430	2967
1557	10436	2960
1558	10443	2954
1559	10450	2947
1560	10458	2941
1561	10466	2934
1562	10473	2928
1563	10481	2921
1564	10487	2915
1565	10494	2908
1566	10501	2901
1567	10506	2894
1568	10514	2888
1569	10522	2881
1570	10529	2875
1571	10536	2868
1572	10543	2862
1573	10551	2855
1574	10559	2849
1575	10565	2842
1576	10571	2835
1577	10578	2829
1578	10584	2822
1579	10590	2815
1580	10597	2808
1581	10603	2801
1582	10610	2795
1583	10617	2788
1584	10625	2781
1585	10632	2775
1586	10639	2768
1587	10645	2762
1588	10651	2755
1589	10659	2748
1590	10666	2741
1591	10673	2735
1592	10680	2728
1593	10688	2722
1594	10695	2715
1595	10702	2709
1596	10708	2702
1597	10714	2695
1598	10722	2689
1599	10729	2682
1600	10735	2675
1601	10742	2668
1602	10748	2662
1603	10756	2655
1604	10762	2648
1605	10770	2642
1606	10777	2635
1607	10783	2628
1608	10791	2622
1609	10798	2615
1610	10805	2609
1611	10812	2602
1612	10819	2595
1613	10827	2589
1614	10834	2582
1615	10840	2576
1616	10846	2569
1617	10853	2562
1618	10860	2555
1619	10866	2548
1620	10874	2542
1621	10880	2535
1622	10886	2528
1623	10895	2522
1624	10902	2516
1625	10910	2509
1626	10916	2502
1627	10924	2496
1628	10931	2489
1629	10938	2483
1630	10945	2476
1631	10953	2470
1632	10960	2463
1633	10965	2456
1634	10973	2449
1635	10979	2442
1636	10986	2436
1637	10994	2429
1638	11000	2422
1639	11007	2416
1640	11014	2409
1641	11020	2402
1642	11027	2396
1643	11036	2389
1644	11044	2383
1645	11051	2376
1646	11057	2370
1647	11064	2363
1648	11073	2357
1649	11083	2351
1650	11090	2344
1651	11100	2338
1652	11109	2332
1653	11120	2326
1654	11127	2319
1655	11135	2313
1656	11143	2306
1657	11153	2300
1658	11160	2294
1659	11169	2287
1660	11179	2281
1661	11186	2275
1662	11195	2268
1663	11203	2262
1664	11212	2255
1665	11220	2249
1666	11230	2243
1667	11237	2236
1668	11245	2230
1669	11252	2223
1670	11258	2216
1671	11265	2210
1672	11274	2203
1673	11282	2197
1674	11288	2190
1675	11297	2184
1676	11304	2177
1677	11313	2171
1678	11321	2164
1679	11328	2157
